医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
さくらの樹クリニック,大阪市平野区瓜破東1-1-2　シャルマンコーポ南平野1階,,1,1,,月～金,9:00～18:00,Web及び来院の予約,1,1,1,12歳,135.5569533,34.60901795,https://www.cl-sakura.com/,,1,1,03予約可能,03予約可能
やながわ内科クリニック,大阪市城東区成育2-13-27　クリニックステーション野江2F-A,06-4255-6111,1,,1,①月～金 ②土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,1,1,,16歳,135.5464781,34.70751076,https://yanagawacl.com/,,1,,,
医療法人　住吉内科,大阪市住之江区浜口西3-12-5,,1,,,,,sumiyoshinaika@sc4.so-net.ne.jpにて予約受付,1,1,1,12歳,135.4839025,34.60552943,http://www.eonet.ne.jp/~sumiyoshinaika/,コロナワクチンナビで日曜日が予約可能,1,,03予約可能,
医療法人　こんどうクリニック,大阪市都島区高倉町1-7-7,06-6924-7654,,,1,,,,,1,,16歳,135.5298226,34.71388056,https://miyakojimakuishikai.jp/search/hospital-112,,1,,,
医療法人五常会　浅野クリニック,大阪市西成区岸里東1-8-11,06-6661-7129,1,,,①月～金 ②土,①9:00～12:15 17:00～19:30 ②9:00～12:15,予約は当院HPから受付,1,1,1,12歳,135.4980096,34.6316406,http://gojou-asanocl.com/,,1,,,
医療法人再生会　そばじまクリニックニューオータニ大阪院,大阪市中央区城見1-4-1　ホテルニューオータニ大阪6階,06-6949-2525,,,1,月～土,10:00～17:00,,1,1,1,12歳,135.5322252,34.69058486,https://www.newotani.co.jp/osaka/facility/detail/sobajima-clinic-newotani/,接種日は木・土の夕方（時間は電話で確認）,1,,03予約可能,
医療法人真秀良会　まほら会診療所,大阪市西成区天下茶屋北2-5-1,,,1,,,,,,1,,,135.5010175,34.64378677,,,1,,,
医療法人南労会　松浦診療所,大阪市港区弁天2-1-30,080-3777-6674,,,1,月～金（平日のみ）,13:30～17:00,,,1,,16歳,135.4587927,34.66807143,http://matsuura-shinryosyo.jp/,,1,,,
医療法人　鈴木医院,大阪市港区三先1-11-27,,,1,,,,かかりつけの親族、近隣の方の受入可,,1,1,12歳,135.4535315,34.66119537,http://www.minato-med.or.jp/clinic/suzuki.html,,1,,,
溝口内科,大阪市港区弁天4-6-6,06-6576-1223,,,1,水～土,午前中のみ,,,1,,16歳,135.4590633,34.67130764,http://www.minato-med.or.jp/clinic/mizoguchi.html,,1,,,
川端産婦人科,大阪市都島区善源寺町2-2-22　善源寺メディカルモール2階,06-6925-6603,,1,1,,,,,1,1,,135.5250886,34.71180147,http://kwc-obgyn.byoinnavi.jp/pc/,,1,,,
大阪梅田　形成外科・リンパ浮腫　LSクリニック,大阪市北区梅田1-11-4　大阪駅前第4ビル6階,,1,,,,,,1,1,,,135.499066,34.69995088,https://lsclinic.jp/,,1,,,
東梅田内本泌尿器科,大阪市北区太融寺町5-15　梅田イーストビル2階,,1,,,,,予約は当院HP参照(アイチケット広場）,1,1,1,16歳,135.5033927,34.70209614,https://umeda-uchimoto-uro.com/,,1,,,
堀クリニック,大阪市淀川区西中島5-9-5　NLC新大阪ビル6階,06-6886-6622,,1,1,月～木,10:00～12:30,,1,,1,12歳,135.5004678,34.72828006,https://www.hori-clinic.jp/,,1,,,
医療法人華拓昇会　あづま脳神経外科リハビリクリニック,大阪市天王寺区生玉前町2-6,090-8709-2272,,,1,月・火・水・金,13:00～15:00,,,1,,,135.5162801,34.66496143,http://www.nougeka.info/pc/,,1,,,
川﨑耳鼻咽喉科,大阪市阿倍野区西田辺町2-9-5,06-6691-1458,,1,1,月・火・木・金・土,診療時間内,,,1,1,12歳,135.5138369,34.61811123,https://kawasaki-ent.jp/,,1,,,
勇村医院,大阪市阿倍野区阪南町5-25-17,06-6691-2021,,,1,,診療時間内,当院診療時間内に電話予約,1,1,1,12歳,135.5113392,34.62175733,https://www.yumura-iin.com/,,1,,03予約可能,
医療法人坂本会　坂本クリニック,大阪市阿倍野区旭町1-1-10　竹澤ビル5階　1号室,,,1,,,,,,1,,16歳,135.5110475,34.64732049,https://www.sakamotojibika.com/,,1,,,
医療法人祐里会　かねこ整形外科,大阪市阿倍野区阪南町1-48-7,06-6657-6633,,,1,,,,1,1,,16歳,135.516301,34.63325892,https://www.kaneko-seikeigeka.jp/,,1,,,
医療法人久内会　きゅうない耳鼻咽喉科,大阪市阿倍野区文の里2-11-25　5階,06-4399-5971,,1,,①月・火・木 ②金・土,①10:30～17:00 ②10:30～12:00,電話は問い合わせ対応のみ,,1,1,12歳,135.5178266,34.63693244,,,1,,,
よりおか胎児クリニック,大阪市阿倍野区阿倍野筋1-1-43　あべのハルカス21階,06-6622-7070,,,1,,,,1,1,1,,135.514857,34.64588878,https://yorioka-taiji-clinic.com/,,1,,,
ひの小児科,大阪市此花区高見2-13-3,,1,,,,,,,1,,12歳,135.4556597,34.68961878,https://www.hino-kids.com/,,1,,02若干空き有り,
医療法人秋桜会　秋桜会ファミリークリニック,大阪市都島区都島本通5-14-4　1階,06-6923-0870,,,1,,,通院透析患者のみ受付,,1,1,16歳,135.5345247,34.70812405,https://kosumosukaigr.jp/kosumosukaigr/facility_d.htm?L=BCSDetail&ID=A90412368373,,1,,,
かつらぎクリニック,大阪市住之江区御崎5-2-21,070-5047-9065,,,1,月・火・木・金,9:00～12:00 16:00～18:00,,1,1,,,135.481525,34.60891455,https://www.katsuragi-cl.com/,,1,,,
大阪トラベルクリニック,大阪市北区梅田1-1-3　大阪駅前第3ビル2階,,1,,,,,当院HPをご確認ください,1,1,1,12歳,135.4995558,34.69895983,https://www.osakatravelclinic.com/,,1,,,
医療法人天斗会　中山医院,大阪市港区市岡元町2-4-16,06-6584-8743,,1,1,,,,,1,,,135.4671283,34.6698837,http://www.minato-med.or.jp/clinic/nakayamaiin.html,,1,,,
医療法人醇風会　井上クリニック,大阪市天王寺区烏ヶ辻1-3-1　熊谷ビル4階,06-6773-5528,,,1,,,,,1,,,135.5273966,34.65745021,,,1,,,
夕陽ヶ丘佐藤クリニック,大阪市天王寺区六万体町5-19　メイプル夕陽丘2階,06-6776-8341,,,1,月～土,10:00～11:00,,,1,1,16歳,135.5142858,34.65777746,https://yuhigaoka-satoclinic.jp/,,1,,,
ツツミ内科循環器科,大阪市天王寺区生玉町2-3　小出ビル2階,06-6773-0573,,1,1,,,,,1,,,135.5152235,34.66539602,https://tsutsumi-naika.com/,,1,,,
渋谷内科クリニック,大阪市西区境川1-1-31　境川メディカルセンター3階,06-6536-8071,,1,1,,,妊婦はかかりつけの方のみ対応可,,1,,,135.4732805,34.66953076,http://www.shibutani-naika.com/,,1,,,
医療法人　さかざきこどもクリニック,大阪市西区九条1-27-6　九条ビル3階,,1,,,,,,,1,,12歳,135.474486,34.67356097,https://www.sakazakids-clinic.com/usr/pc/,,1,,,
小宮クリニック,大阪市住吉区住吉1-13-23,06-6673-3301,,1,1,,,,,1,,,135.495335,34.61325763,,,1,,,
社会福祉法人大阪暁明館　大阪暁明館病院,大阪市此花区西九条5-4-8,080-6197-0128,1,,1,月～金(祝日除く),10:00～12:30 13:30～15:00,高齢者対象の際のみ電話受付予定,1,1,1,12歳,135.4654936,34.6843718,https://www.gyoumeikan.or.jp/,金曜17:30～、土曜14:00～,1,,03予約可能,
藍の都脳神経外科病院,大阪市鶴見区放出東2-21-16,080-9126-0353,1,,,月～金,13:00～16:00,LINEで予約(登録は医院HP）,1,1,1,12歳,135.5660285,34.69087825,https://ainomiyako.net/,,1,,03予約可能,
医療法人　望月医院,大阪市生野区舎利寺1-5-22,06-6715-0215,,,1,月～金,16:30～18:30,,,1,,16歳,135.5375514,34.65054861,https://www.mochizukiiin.com/,,1,,,
中川医院,大阪市阿倍野区美章園1-10-16,06-6622-1151,,1,1,①月・火・木・土 ②水・金,①9:00～12:30 17:00～19:30 ②9:00～12:30,,1,1,1,12歳,135.5223326,34.6383988,https://abenonaka.net/,,1,,,
植原医院,大阪市東淀川区上新庄2-9-11,06-6328-1807,,1,1,,,,,1,,16歳,135.5317077,34.74758023,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=44,,1,,,
医療法人弘治会　つるさき診療所,大阪市旭区大宮2-20-17,,,1,,月・水・金,9:00～12:30,,,1,,16歳,135.5470921,34.72225336,,,1,,,
加納診療所,大阪市西成区天神ノ森1-12-22,06-6115-8676,,,1,①月・火・木・金 ②水・土,①9:00～12:00 16:00～18:00 ②9:00～12:00,,,1,1,16歳,135.4997998,34.63291036,https://www.489map.com/helios/A9519392/reserve/syoshin,,1,,,
坂上内科,大阪市北区天神橋2-3-10-203,06-6351-2273,,,1,①月・水・金 ②火,①10:00～13:00 15:00～17:30 ②10:00～13:00,,1,1,1,16歳,135.5112149,34.69685776,http://www.sakagaminaika.com/,金曜日午後診のみで受付中,1,,03予約可能,
南森町レディースクリニック,大阪市北区天神橋2-5-25　若杉グランドビル本館1階,,,1,,,,,,1,,,135.5131923,34.69719078,http://mm-clinic.net/,,1,,,
医療法人　岸本整形外科,大阪市城東区東中浜3-3-4　リッツ貮番館1階,06-6163-1500,,,1,,,,,1,,12歳,135.5454221,34.682546,http://www.jotoishikai.or.jp/a035/,,1,,,
耳鼻咽喉科いわはしクリニック,大阪市都島区内代町2-7-3　オカダ本館ビル1階,,1,,,,,予約はLINE、HP。状況はLINEにて通知,1,,1,12歳,135.5379643,34.71147159,https://iwahashi-ent.com/,,1,,,
医療法人　中山クリニック,大阪市平野区平野本町4-2-17,06-6795-5862,,,1,①月・火・木・金 ②水・土,①9:00～12:00 16:00～18:45 ②9:00～12:00,,1,1,1,12歳,135.5519136,34.6229317,,,1,1,03予約可能,
ならはら医院,大阪市淀川区西中島1-15-10,06-6301-2909,,,1,①月・火・木・金 ②水・土,①9:00～11:30 17:00～18:30 ②9:00～11:30,,,1,1,12歳,135.5020252,34.72553868,http://c-nara.byoinnavi.jp/pc/,,1,,,
医療法人育樹会　鶴見総合クリニック,大阪市鶴見区今津北4-14-2,06-4258-2100,,,1,月~金,9:00～17:00,,1,,,12歳,135.5786733,34.69422412,https://ikuzyukai.com/,,1,,01予約不可能,
ゴゥクリニック,大阪市中央区大手前1-6-4　リップル天満橋ビル2・3階,06-6232-8111,,,1,①月・木・金 ②水,①9:00～9:30 17:00～17:30 ②9:00～9:30,,1,1,1,12歳,135.5178942,34.68955257,https://www.go-cl.com/,,1,,,
血液内科太田クリニック・心斎橋,大阪市中央区南船場3-5-11　心斎橋フロントビル5階,06-6245-2117,,,1,月～金,9:00～16:00,,,1,,,135.5025369,34.67534838,https://ligare-clinic.com/,,1,,,
ゴールドクリニック,大阪市中央区北久宝寺町3-4-13　NPC心斎橋ビル3F,,1,,,,,,1,1,1,12歳,135.5016867,34.68037253,https://goldclinic.jp/COVID,,1,1,,
医療法人健昌会　健昌会クリニック,大阪市北区西天満5丁目9番3号アールビル本館　2階,06-6365-1655,,,1,月・水・金,14:00～16:00,一部一般患者受入を行う場合あり,,1,,,135.5075629,34.69795909,https://www.i-kenshokai.or.jp/facility/kinki,,1,,,
医療法人健昌会　第二診療所,大阪市淀川区十三本町1-1-9,06-6303-7281,,,1,月・水・金,14:00～16:00,一部一般患者受入を行う場合あり,,1,,,135.482371,34.71921146,https://www.i-kenshokai.or.jp/facility/yodogawa,,1,,,
こだまクリニック,大阪市住吉区万代3-12-5　ハイムスタイン101,06-6627-9731,,,1,,,,,1,1,16歳,135.5047262,34.61849562,,,1,,,
のだこどもクリニック,大阪市北区本庄東1-1-10　RISEビル1階,06-6136-7205,1,,1,診察日,10:30～11:30,,1,1,,12歳,135.5093284,34.71086606,http://nodakodomo-clinic.com/index.html,,1,,,
はまだ小児科,大阪市西成区岸里東2-5-16,06-6653-5287,,,1,,,一般の方も予約枠の空きがある限り受け付けます。,,1,,12歳,135.496884,34.62909749,http://bears.jp/pedi/,,1,,03予約可能,
愛和こどもクリニック,大阪市阿倍野区松崎町2-9-25　あべの壱番館104-1,06-6624-7612,,1,,,,電話予約不可,,1,,12歳,135.5156146,34.64265337,,,1,,,
医療法人さつき会　きららこどもクリニック,大阪市生野区巽東1-2-14ウイングヒルズ1階,06-6757-1919,1,,,火～金,11:30～12:00,電話予約不可,,1,,12歳,135.555758,34.65209479,https://www.kirarakodomo.com/,,1,,,
医療法人安岡医院　内科・循環器内科,大阪市淀川区三津屋北1-6-18,06-6301-6224,,1,1,,診療時間内,,,1,,12歳,135.4725441,34.73146677,https://yasuoka-cl.com/,,1,,01予約不可能,
医療法人　玉造こどもクリニック,大阪市東成区中道3-16-15　ソレアード玉造2階,06-7492-5061,,,1,,,原則18歳以下および付き添い家族,,1,,,135.5347675,34.67485588,http://www.tamatsukuri-kids-cl.com/,,1,,,
医療法人幸久会　たけなか整形外科クリニック,大阪市西成区玉出中2-15-21　HKビル2階,06-6655-3055,,,1,,,,1,1,,12歳,135.4911126,34.62468867,https://nishinari-med.or.jp/search/doc_info/area08_08.htm,,1,,,
医療法人　上本町ぼく小児科,大阪市天王寺区上本町8-2-1　クライス上本町1階,,1,,,,,当院HP参照,1,1,,12歳,135.5184545,34.6621083,http://boku-clinic.com/,接種は土曜日の午後からです,1,,03予約可能,
吉野眼科クリニック,大阪市浪速区敷津西2-2-11,,,1,,平日,15:00～17:30,,1,1,,12歳,135.497334,34.65541483,http://yoshinoeyeclinic.web.fc2.com/,,1,,,
長原耳鼻咽喉科,大阪市東成区中道1-5-19,06-6976-8733,,1,1,,,,,1,1,12歳,135.5368801,34.67919755,https://www.osaka-jibikaikai.org/med/med-8468.html,,1,,,
医療法人裟貴会　田口クリニック,大阪市西成区梅南1-2-4,,,1,,,,,,1,1,12歳,135.4960456,34.64262521,https://nishinari-med.or.jp/search/doc_info/area03_06.htm,,1,,,
大阪きづがわ医療福祉生活協同組合　医療生協ながほり通り診療所,大阪市西区新町4-10-10,06-6533-0106,,,1,月～金,12:00～16:00,,,1,,16歳,135.4854727,34.67608502,https://www.osaka-kizugawa.coop/nagahori/,,1,,03予約可能,
こう小児科クリニック,大阪市天王寺区玉造本町1-7-101,,1,,,,,,,1,1,12歳,135.5308244,34.67430863,https://koh-pediatric-clinic.com/,,1,,,
髙垣医院,大阪市旭区今市2-15-6　ハイフェンス今市1階,06-6951-5105,,,1,,,,1,,1,12歳,135.5531421,34.72862736,http://takagaki-droffice.com/index.html#%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9,,1,,,
カオリ内科・糖尿病クリニック,大阪市天王寺区上本町5-3-16,06-6770-5407,,,1,月・火・木・金,16:00～18:30,,,1,,16歳,135.5197595,34.66790341,https://www.kaori-clinic.com/,,1,,,
Haruクリニック,大阪市鶴見区鶴見3-5-12　3F,06-6935-2727,,1,1,月・木・金・土,10:00～13:30 15:30～19:30,,1,1,1,12歳,135.5607851,34.7020186,https://www.haru-clinic.net/,,1,,,
なんばふみもとクリニック,大阪市浪速区難波中2-3-3　森川医療ビル4階,06-6645-1007,,,1,,診療時間内,,,1,,,135.5039789,34.6625468,http://www.fumimoto-cl.jp/,,1,,,
医療法人　慶元クリニック,大阪市東住吉区山坂5-16-25　パールタウン鶴ヶ丘1階,06-6608-8200,,,1,火・水,9:00～12:00,,1,,,16歳,135.5183554,34.61654347,,,1,,,
医療法人高山会　たかやま耳鼻咽喉科,大阪市住之江区浜口東3-5-20,,,1,,,,,,1,1,12歳,135.4858588,34.60893867,https://takayama-ent.com/,,1,,,
医療法人　大谷眼科クリニック,大阪市生野区桃谷3-6-5,06-6718-8600,,1,1,月・水・金,15:30～18:00,,1,1,,12歳,135.5344491,34.66118834,,,1,,01予約不可能,
ほりえキッズクリニック,大阪市西区南堀江1-22-6　トラストマン堀江1階,06-6535-7765,,1,,火・木,10:00～11:00,,,1,,12歳,135.4935436,34.67222472,https://www.horie-kids.com/,,1,,,
浦岡小児科,大阪市生野区中川東二丁目13番17号,,1,,,月～金（平日),10:00～12:00,当院予約サイト(アイチケット)から予約,,1,1,12歳,135.5501334,34.65709546,https://www.uraoka.com/,,1,,,
あらきクリニック,大阪市北区天神橋3-5-17,06-6351-1907,,,1,,,,1,1,1,12歳,135.5116046,34.70109823,https://araki-c.com/,,1,,,
新大阪胃腸クリニック,大阪市淀川区西宮原2-3-29　三相ビル1階,06-6392-6868,,,1,月・水・金,16:00～17:00,,,1,,12歳,135.4939508,34.73678474,https://www.new-icho.com/,,1,,,
医療法人福仁会　ウエナエ産婦人科,大阪市西区九条南2-32-7,,,1,,①月・火・木・金 ②水・土,①9:00～12:30 17:00～18:30 ②9:00～12:30,,,1,1,,135.4724821,34.67075891,https://uenae.net/,,1,,,
脇本産婦人科,大阪市天王寺区空堀町1-19,,,1,,,,医療従事者は当院かかりつけのみ,,1,1,,135.5293799,34.67452872,http://wakimoto-obgyn.com/,,1,,,
ふくだあやレディースクリニック・ひろつぐ出生前診断クリニック,大阪市北区紅梅町1-6　カザリーノビル1階,06-6354-0088,,,1,土,14:30～15:00,,,1,1,16歳,135.513904,34.69846827,https://fukuda-aya.com/,,1,,,
大阪整肢学院,大阪市北区中津2-2-22,,,,,,,入院患者のみ対応,,1,,12歳,135.4973599,34.71346995,http://www.nakatsu.saiseikai.or.jp/seishigakuin/,,1,,,
ふなおか消化器・内視鏡クリニック,大阪市城東区今福東1-13-8　今福つるみクリニックビル1階,06-6180-3255,,1,1,,10:00～12:00 16:00～17:00,,,1,,,135.5599762,34.70077943,https://funacli.com/,,1,,,
医療法人仁松会　西脇診療所,大阪市都島区毛馬町3-2-2,06-6921-2255,,1,1,,,,,1,,16歳,135.519358,34.72065285,,,1,,,
吉田耳鼻咽喉科,大阪市天王寺区烏ケ辻一丁目1番1号MIビル6階,06-6773-6565,,1,1,月・火・水・金,16:00～18:00,,,1,,12歳,135.5277058,34.65800496,http://www7.plala.or.jp/yoshida-ent/,接種日は火曜、土曜の午前中です。,1,,03予約可能,
医療法人　吉栄会　吉栄会病院,大阪市生野区小路二丁目14番5号,06-6752-7867,,,1,月～金,10:00～16:00,,,1,,,135.5546036,34.66159466,http://www.yoshieikai.com/yoshieikaihospital/,,1,,,
さの赤ちゃんこどもクリニック,大阪市天王寺区清水谷町5-22　H・A BLDG 3階,06-6765-8585,1,,1,平日,診療時間内,詳細はクリニックHP参照,1,1,1,12歳,135.5216283,34.67567671,https://www.sano-babykids.com/,,1,,,
医療法人　にしかわこどもクリニック,大阪市平野区平野西3-9-11,06-6707-3741,,,1,,診療時間内,,,1,,12歳,135.5463885,34.61890247,http://website2.infomity.net/8030000325/,,1,,,
医療法人雅会　南野耳鼻咽喉科,大阪市住吉区我孫子東3丁目1番3号3階,06-4700-3387,,1,1,①月・火・木・金 ②水・土,①10:00～12:00 16:00～18:00 ②10:00～12:00,,1,,1,12歳,135.5125083,34.59767087,http://www.minamino-jibika.com/,,1,,01予約不可能,
